date,Factor_1,Factor_2,Is_Entry,Is_Exit
07-05-2021,0.962725228,0.109136105,0,0
10-05-2021,0.324821756,0.033959793,0,1
11-05-2021,0.476593484,0.033993898,0,1
12-05-2021,0.616981069,0.004803072,0,0
14-05-2021,1.107097987,0.068873062,0,0
17-05-2021,1.691778552,0.133030139,0,0
18-05-2021,0.959389091,0.091527155,0,0
19-05-2021,0.411635002,0.061089938,0,1
20-05-2021,0.394158051,0.046212496,0,1
21-05-2021,1.200219831,0.055638384,0,0
24-05-2021,0.410051325,0.020201501,0,1
25-05-2021,0.588674943,0.032345018,0,0
26-05-2021,0.636707365,0.06381744,0,0
27-05-2021,0.520096357,0.047488743,0,0
28-05-2021,0.304116147,0.03033298,0,1
31-05-2021,0.201095422,0.021255488,0,1
01-06-2021,0.165578958,0.019225395,0,1
02-06-2021,0.57287151,0.021493567,0,0
03-06-2021,0.271134443,0.036058101,0,1
04-06-2021,0.684915555,0.001912743,0,0
07-06-2021,0.977916314,0.020664054,0,0
08-06-2021,0.256664422,0.026545373,0,1
09-06-2021,0.701866974,0.02151025,0,0
10-06-2021,0.12248142,0.037176274,0,1
11-06-2021,0.34432376,0.049109177,0,1
14-06-2021,0.479807978,0.004867429,0,1
15-06-2021,0.050536411,0.030261208,0,1
16-06-2021,1.028284848,0.031532412,0,0
17-06-2021,2.130355615,0.138435151,0,0
18-06-2021,0.842212404,0.021896736,0,0
21-06-2021,1.626936924,0.072743096,0,0
22-06-2021,1.316731178,0.050304239,0,0
23-06-2021,0.972746449,0.035421511,0,0
24-06-2021,0.768319592,0.035226918,0,0
25-06-2021,1.122891181,0.064092726,0,0
28-06-2021,1.147001682,0.075760801,0,0
29-06-2021,1.401481935,0.122386518,0,0
30-06-2021,1.441705357,0.136243321,0,0
01-07-2021,1.741418462,0.181879387,0,0
02-07-2021,1.471042982,0.159310182,0,0
05-07-2021,1.836574216,0.212889716,1,0
06-07-2021,1.708969468,0.224841853,1,0
07-07-2021,1.744664305,0.260697574,1,0
08-07-2021,1.641783899,0.274692611,1,0
09-07-2021,1.138948641,0.199835888,0,0
12-07-2021,0.460467862,0.094044652,0,1
13-07-2021,0.326195477,0.063592492,0,1
14-07-2021,0.283299089,0.067889548,0,1
15-07-2021,0.169377777,0.063498469,0,1
16-07-2021,0.327694196,0.088686288,0,1
19-07-2021,0.777109031,0.155791227,0,0
20-07-2021,1.233188874,0.233004557,1,0
22-07-2021,0.890018185,0.157723575,0,0
23-07-2021,1.114725938,0.210414892,1,0
26-07-2021,1.007974103,0.215570229,1,0
27-07-2021,0.691725291,0.180064599,0,0
28-07-2021,0.186194028,0.103566222,0,1
29-07-2021,0.053085319,0.084073166,0,1
30-07-2021,0.014356922,0.088812849,0,1
02-08-2021,0.663325714,0.101745143,0,0
03-08-2021,0.652023468,0.085091803,0,0
04-08-2021,0.598535409,0.097497748,0,0
05-08-2021,0.395664255,0.013476228,0,1
06-08-2021,1.009195653,0.1293408,0,0
09-08-2021,0.846994486,0.082466068,0,0
10-08-2021,0.624368938,0.02922376,0,0
11-08-2021,1.238576582,0.141656299,0,0
12-08-2021,1.413185493,0.166017895,0,0
13-08-2021,1.44784259,0.189961334,0,0
16-08-2021,1.66139419,0.250535617,1,0
17-08-2021,1.526908034,0.235757193,1,0
18-08-2021,1.468225784,0.247206344,1,0
